,tmp,count,TF,batch
770,CIITA_0,144,CIITA,0
771,ZNF549_1,143,ZNF549,1
772,ZNF101_0,143,ZNF101,0
773,ZNF652_0,143,ZNF652,0
774,ZNF341_1,142,ZNF341,1
775,FOXD4L6_0,141,FOXD4L6,0
776,HSFX2_0,141,HSFX2,0
777,ASCL2_0,141,ASCL2,0
778,SP110_0,140,SP110,0
779,ELK3_1,139,ELK3,1
780,TERF1_0,138,TERF1,0
781,AP2B1_1,138,AP2B1,1
782,FIGLA_1,138,FIGLA,1
783,ZNF513_0,138,ZNF513,0
784,TGIF2LY_0,137,TGIF2LY,0
785,FOXJ3_0,137,FOXJ3,0
786,FOXI3_0,136,FOXI3,0
787,TBX5_0,136,TBX5,0
788,NFATC4_1,133,NFATC4,1
789,IRX6_0,132,IRX6,0
790,ZNF211_0,132,ZNF211,0
791,CTBP2_0,131,CTBP2,0
792,GBX1_1,131,GBX1,1
793,RFX3_0,131,RFX3,0
794,SPZ1_0,131,SPZ1,0
795,CTCF_0,129,CTCF,0
796,ZNF211_1,129,ZNF211,1
797,PAX7_0,128,PAX7,0
798,SIX6_0,128,SIX6,0
799,FOSL2_0,127,FOSL2,0
800,PIAS1_0,126,PIAS1,0
801,TBPL2_0,125,TBPL2,0
802,ZNF446_0,125,ZNF446,0
803,LHX2_0,125,LHX2,0
804,TBR1_1,124,TBR1,1
805,ZKSCAN8_1,124,ZKSCAN8,1
806,LHX1_0,124,LHX1,0
807,HMG20B_0,124,HMG20B,0
808,ZNF254_1,123,ZNF254,1
809,IRX3_0,123,IRX3,0
810,KLF10_0,123,KLF10,0
811,SMAD1_0,123,SMAD1,0
812,NHLH1_0,122,NHLH1,0
813,ERF_0,122,ERF,0
814,HDAC3_0,121,HDAC3,0
815,ZSCAN30_0,121,ZSCAN30,0
816,KLF11_1,120,KLF11,1
817,ZNF772_0,120,ZNF772,0
818,ZNF26_1,120,ZNF26,1
819,CEBPD_0,119,CEBPD,0
820,PAX6_1,118,PAX6,1
821,FOXO4_0,118,FOXO4,0
822,SOX9_1,117,SOX9,1
823,ZBTB12_0,117,ZBTB12,0
824,EZH2_1,117,EZH2,1
825,IKZF5_0,116,IKZF5,0
826,IRX1_0,115,IRX1,0
827,MSGN1_0,115,MSGN1,0
828,CDK9_0,115,CDK9,0
829,VAX2_0,115,VAX2,0
830,ZBED1_0,115,ZBED1,0
831,CERS5_0,115,CERS5,0
832,TWIST2_0,114,TWIST2,0
833,ZNF718_1,113,ZNF718,1
834,ZNF786_1,113,ZNF786,1
835,MAPK8IP1_0,112,MAPK8IP1,0
