,phi_0,phi_1,phi_2,phi_3,phi_4,phi_5,phi_6,phi_7,phi_8,phi_9,phi_10,phi_11,phi_12,phi_13,phi_14,phi_15,phi_16,phi_17,phi_18,phi_19,phi_20,phi_21,phi_22,phi_23,phi_24,phi_25,phi_26,phi_27
AIM2,-0.00072881585,-0.0005236405,0.001520736,0.005420262,-0.0008261275,0.002429327,0.005188303,-0.00022574319,0.0012034522,-0.002295073,0.0006372441,0.00279562,0.0041160793,-0.0007437417,-0.0018452465,0.0002803415,0.0010126951,-0.0019930794,-0.00803784,0.002735485,-0.00086334546,0.0035540387,-0.0019153013,-0.002206816,0.00039734543,-0.0008962674,-0.0039714235,0.013220149
AKR1C4,0.00035883815,0.0005048304,0.000850298,0.0003264822,-0.002235384,-0.0005241392,0.0009055143,-0.0007177214,0.00013280666,-0.0012042458,-0.0007273491,0.001035905,0.00024224452,0.00012713014,-0.00086970587,-0.0010629992,0.0014695784,-0.0003503639,-0.0021820236,-0.0005491097,0.0007348968,-0.00052712363,0.0002932817,0.0005955381,-0.0007480252,-0.00036575776,-0.0015036045,0.0023626254
AKT3,-0.0023978655,0.0033747917,0.0054134773,0.014552595,-0.0027570145,0.00043309393,0.0123993745,0.0038951894,0.0010021216,-0.007132556,0.0031689971,-0.00017300149,0.0053194943,-0.0009876235,-0.0062159863,0.0031714516,0.0007750546,0.0027408719,-0.023924317,0.002281321,0.0031347694,0.00030451518,-0.0012758197,-0.004002599,0.00018846287,-0.002513734,-0.0034495567,0.026731476
ALB,0.00079027034,0.00039725413,-0.0011300885,-0.0013055955,4.2051655e-05,9.36496e-06,-0.0004913064,-0.00061848835,-0.0004585869,0.00050971867,0.000112458,0.00010608814,-0.00047035838,1.3802296e-06,0.0006549808,-7.191527e-05,-5.2536903e-05,0.00022994446,0.0018300246,4.26737e-05,-0.0010044214,-0.00038928218,-0.0004539199,5.9090133e-05,-0.00025128148,0.00016224268,0.00025402204,-0.0013214062
ALCAM,-0.004726758,0.010675245,0.004961649,0.010866603,-0.0061693774,-0.0054648956,0.007926544,0.0030487315,-0.0015102086,-0.01676239,-0.0030916494,-0.000449659,0.007888678,0.0005689402,-0.005297075,0.002256456,-0.0009331488,0.0061880266,-0.01766912,0.0080267,0.007106234,-0.006618771,0.0015177792,4.630385e-07,0.00036481596,-0.00011851728,-0.0033620442,0.018606115
ALDH1A2,-0.0008050148,0.0030456604,0.0006613946,0.00021662074,-0.0008298267,-0.0013353385,0.00014756722,0.015226277,0.006326606,-0.0073502474,0.007814365,0.0022922587,-0.0021358302,-0.000619696,-0.0047480627,-0.0005311341,0.0023780551,-0.001298298,0.0010623019,-0.00044698114,0.0010963784,0.000574838,-0.0017213764,-0.0013842579,0.0016906151,-0.004787071,-2.8210485e-05,0.0021456238
ALDH3A1,-0.00069356425,0.00096966006,-0.0010970603,-0.00020237421,-0.0012716198,0.00045264055,-0.0009530462,-0.002452539,-0.0029422427,-0.003787781,-0.0010109812,0.002092162,-0.00051195396,0.00012141475,0.0012311654,-0.00092675874,0.0018808404,0.00012828187,0.0017729241,0.0025803035,0.0013435232,-0.000437964,-0.0017130896,0.0010784155,0.0015533103,-0.001189828,0.0008908401,-0.0016312044
ALG1L2,-0.0018436963,-0.00059801404,-0.0012148165,0.0011664515,-0.0005435858,-0.0007896347,-0.0023475885,0.0010541572,-0.00030226205,0.000447347,-0.00078240066,-0.0005274058,0.0010612443,-0.00017236396,-0.00034780172,-0.0001610317,0.00060907524,-0.0008594168,-0.0028653461,1.5608497e-05,0.0019509107,0.00054043747,-0.00086181273,-0.00050828705,0.00077830185,-0.0006214135,-0.00042600062,-0.0014390663
ALG1L9P,0.00105088,0.0018859728,0.0008084341,0.00025941798,-0.000893657,-0.0008719515,0.0018050577,-0.0005376087,0.00015356284,-0.0005872327,-0.0023249453,-0.003420182,0.00077398366,3.057018e-05,-0.0008015934,-0.00071127556,0.0006001716,-0.00087511115,-0.0037871385,0.0016717219,0.0016046403,-9.1002636e-05,0.0019649763,0.0019695626,0.0012453048,0.0014903304,0.00074433,0.0018218154
ALPK2,-0.006624323,0.00890491,0.0021706834,0.00017778209,-0.0033726022,-0.0032748065,-0.0054448033,0.0043443996,-0.003721269,-0.018418416,-0.001099793,-0.006409859,0.01017007,0.004253325,-0.0012557984,0.0043085096,-0.0047540804,0.0037244041,0.009867322,0.015622998,0.002087372,-0.00056743255,0.00265236,-0.008920523,0.0018383183,0.00670367,-0.005450897,-0.005848233
